Wife's age,Wife's education,Husband's education,Number of children ever born,Wife's religion,Wife's now working?,Husband's occupation,Standard-of-living index,Media exposure,Contraceptive method used
23,Intermediate,Primary,1,Islam,Yes,Area 3,Considerable,Good,Long-term
38,High School,Intermediate,4,Islam,No,Area 1,Moderate,Good,Long-term
22,University,University,1,Islam,Yes,Area 2,Moderate,Good,Long-term
34,Intermediate,University,3,Non-Islam,No,Area 1,High,Good,Long-term
38,Intermediate,University,7,Non-Islam,No,Area 2,Considerable,Good,Long-term
21,University,University,1,Islam,No,Area 1,High,Good,Long-term
43,Primary,Intermediate,4,Islam,No,Area 1,High,Good,Long-term
44,Intermediate,Intermediate,9,Islam,No,Area 1,Low,Good,Long-term
24,University,University,1,Islam,No,Area 2,High,Good,Long-term
27,University,University,1,Islam,Yes,Area 3,Considerable,Good,Long-term
34,Intermediate,University,4,Islam,No,Area 3,Considerable,Good,Long-term
29,Intermediate,University,2,Islam,No,Area 1,High,Good,Long-term
26,University,University,1,Islam,Yes,Area 2,Considerable,Good,Long-term
37,University,University,7,Islam,No,Area 1,High,Good,Long-term
21,Intermediate,University,3,Islam,No,Area 1,High,Good,Long-term
47,University,University,4,Non-Islam,No,Area 2,High,Good,Long-term
41,University,University,3,Islam,Yes,Area 2,Considerable,Good,Long-term
29,Intermediate,University,3,Islam,No,Area 1,Considerable,Good,Long-term
25,University,University,1,Islam,Yes,Area 1,High,Good,Long-term
33,University,University,2,Non-Islam,Yes,Area 1,Considerable,Good,Long-term
23,University,University,1,Non-Islam,No,Area 1,High,Good,Long-term
32,University,University,4,Islam,No,Area 2,Considerable,Good,Long-term
45,University,University,3,Islam,No,Area 1,High,Good,Long-term
37,University,University,4,Islam,No,Area 1,High,Good,Long-term
35,High School,University,4,Non-Islam,No,Area 3,Moderate,Good,Long-term
37,University,University,3,Islam,No,Area 3,High,Good,Long-term
35,University,University,5,Islam,No,Area 2,High,Good,Long-term
23,University,University,1,Islam,No,Area 3,Considerable,Good,Long-term
38,High School,High School,8,Islam,No,Area 2,Moderate,Good,Long-term
41,University,University,4,Non-Islam,Yes,Area 2,High,Good,Long-term
35,Primary,High School,9,Islam,Yes,Area 3,Low,Good,Long-term
29,University,University,3,Islam,No,Area 3,Moderate,Good,Long-term
26,Intermediate,Intermediate,2,Islam,No,Area 1,Considerable,Good,Long-term
22,Intermediate,Intermediate,2,Islam,No,Area 3,Considerable,Good,Long-term
30,High School,Intermediate,5,Islam,No,Area 3,Low,Not good,Long-term
36,University,University,3,Islam,No,Area 3,Considerable,Good,Long-term
26,Intermediate,University,3,Islam,No,Area 1,High,Good,Long-term
32,University,University,2,Islam,Yes,Area 3,High,Good,Long-term
39,University,University,3,Non-Islam,No,Area 2,High,Good,Long-term
29,Intermediate,University,3,Islam,No,Area 1,Considerable,Good,Long-term
40,University,University,5,Islam,No,Area 1,Considerable,Good,Long-term
43,Intermediate,Intermediate,6,Islam,Yes,Area 3,Moderate,Good,Long-term
44,Intermediate,University,6,Islam,No,Area 3,Moderate,Good,Long-term
24,University,University,2,Islam,No,Area 2,High,Good,Long-term
42,University,University,3,Islam,Yes,Area 1,High,Good,Long-term
33,Intermediate,University,2,Islam,No,Area 1,High,Good,Long-term
24,University,University,1,Non-Islam,No,Area 2,Considerable,Good,Long-term
28,Intermediate,University,2,Non-Islam,No,Area 2,Considerable,Good,Long-term
32,High School,Primary,5,Islam,Yes,Area 2,Moderate,Good,Long-term
26,High School,High School,4,Islam,No,Area 3,High,Good,Long-term
27,University,University,1,Islam,No,Area 1,High,Good,Long-term
41,Intermediate,University,3,Non-Islam,No,Area 2,High,Good,Long-term
28,Intermediate,University,2,Non-Islam,No,Area 3,Considerable,Good,Long-term
23,University,University,1,Islam,Yes,Area 3,High,Good,Long-term
31,High School,High School,4,Islam,No,Area 4,Considerable,Not good,Long-term
33,University,University,3,Non-Islam,No,Area 2,High,Good,Long-term
35,University,University,5,Islam,No,Area 1,High,Good,Long-term
39,Intermediate,University,5,Islam,No,Area 3,High,Good,Long-term
27,University,University,2,Islam,No,Area 1,Considerable,Good,Long-term
48,University,University,3,Non-Islam,No,Area 1,High,Good,Long-term
25,Intermediate,Primary,2,Islam,Yes,Area 3,High,Good,Long-term
38,University,University,4,Islam,No,Area 2,High,Good,Long-term
48,University,University,7,Islam,Yes,Area 1,High,Good,Long-term
34,University,University,4,Islam,Yes,Area 3,Considerable,Good,Long-term
36,Intermediate,Intermediate,4,Islam,No,Area 1,Considerable,Good,Long-term
34,University,University,3,Islam,Yes,Area 3,High,Good,Long-term
42,University,University,4,Non-Islam,Yes,Area 2,High,Good,Long-term
45,Intermediate,Intermediate,5,Non-Islam,No,Area 1,Considerable,Good,Long-term
37,University,University,4,Non-Islam,No,Area 2,High,Good,Long-term
38,University,University,3,Non-Islam,Yes,Area 2,High,Good,Long-term
42,Intermediate,Intermediate,4,Non-Islam,No,Area 3,High,Good,Long-term
42,High School,University,5,Non-Islam,No,Area 2,Considerable,Good,Long-term
41,University,University,6,Islam,No,Area 1,High,Good,Long-term
43,University,University,5,Non-Islam,No,Area 1,High,Good,Long-term
34,University,University,2,Non-Islam,Yes,Area 3,Moderate,Good,Long-term
44,High School,Intermediate,1,Non-Islam,No,Area 2,High,Good,Long-term
41,University,University,4,Non-Islam,No,Area 1,High,Good,Long-term
36,University,University,3,Islam,No,Area 1,High,Good,Long-term
34,Primary,High School,5,Islam,No,Area 3,High,Good,Long-term
32,Intermediate,High School,5,Islam,No,Area 3,Considerable,Good,Short-term
34,Intermediate,Intermediate,6,Islam,No,Area 1,High,Good,Short-term
24,University,University,2,Islam,Yes,Area 3,Considerable,Good,Short-term
21,Intermediate,Intermediate,1,Non-Islam,No,Area 3,Moderate,Good,Short-term
38,University,Intermediate,9,Islam,No,Area 3,Considerable,Good,Short-term
39,University,University,3,Islam,Yes,Area 1,High,Good,Short-term
35,High School,High School,6,Islam,Yes,Area 2,Moderate,Not good,Short-term
30,High School,Intermediate,7,Islam,No,Area 3,Considerable,Good,Short-term
17,Intermediate,University,1,Islam,No,Area 3,Considerable,Good,Short-term
32,High School,University,3,Islam,No,Area 3,High,Good,Short-term
43,University,University,5,Non-Islam,No,Area 1,High,Good,Short-term
31,High School,High School,4,Islam,No,Area 3,Considerable,Good,Short-term
24,Primary,High School,3,Islam,No,Area 3,Moderate,Good,Short-term
26,High School,University,3,Islam,No,Area 1,Considerable,Good,Short-term
35,Intermediate,University,4,Islam,Yes,Area 1,High,Good,Short-term
46,Intermediate,University,4,Islam,Yes,Area 3,High,Good,Short-term
29,High School,Intermediate,3,Islam,No,Area 3,Considerable,Good,Short-term
21,Intermediate,University,1,Islam,Yes,Area 3,High,Good,Short-term
31,University,University,5,Islam,Yes,Area 1,High,Good,Short-term
24,University,University,2,Islam,No,Area 3,Considerable,Good,Short-term
24,High School,University,3,Islam,No,Area 3,Considerable,Good,Short-term
36,University,University,4,Islam,No,Area 1,Considerable,Good,Short-term
37,High School,Intermediate,9,Islam,No,Area 3,Considerable,Good,Short-term
37,Intermediate,Intermediate,6,Islam,No,Area 3,Considerable,Good,Short-term
37,Intermediate,Intermediate,11,Islam,No,Area 1,Moderate,Good,Short-term
44,University,University,4,Non-Islam,No,Area 2,Considerable,Good,Short-term
35,High School,Intermediate,6,Islam,No,Area 2,Considerable,Good,Short-term
25,University,University,3,Islam,No,Area 3,Considerable,Good,Short-term
21,University,University,2,Islam,No,Area 2,Considerable,Good,Short-term
24,Primary,High School,3,Islam,No,Area 3,Moderate,Good,Short-term
16,High School,Intermediate,1,Islam,No,Area 3,Low,Good,Short-term
21,Intermediate,High School,1,Islam,No,Area 3,Low,Not good,Short-term
25,High School,University,2,Islam,No,Area 2,High,Good,Short-term
26,University,University,1,Islam,Yes,Area 2,High,Good,Short-term
43,University,University,2,Islam,No,Area 1,High,Good,Short-term
24,University,University,1,Islam,No,Area 1,High,Good,Short-term
30,Intermediate,University,3,Non-Islam,No,Area 3,Considerable,Good,Short-term
30,High School,Intermediate,3,Islam,No,Area 3,Considerable,Good,Short-term
26,University,University,2,Islam,No,Area 3,Considerable,Good,Short-term
29,High School,University,4,Islam,No,Area 3,Moderate,Good,Short-term
24,Intermediate,University,4,Islam,No,Area 3,Low,Good,Short-term
29,Intermediate,Intermediate,2,Islam,No,Area 3,Moderate,Good,Short-term
29,Primary,High School,1,Islam,No,Area 3,Considerable,Good,Short-term
22,University,University,1,Islam,No,Area 2,High,Good,Short-term
30,Intermediate,Intermediate,4,Islam,Yes,Area 3,Moderate,Good,Short-term
24,University,University,1,Islam,No,Area 2,Considerable,Good,Short-term
25,University,University,2,Islam,No,Area 1,Moderate,Good,Short-term
44,University,University,5,Islam,Yes,Area 1,High,Good,Short-term
28,High School,Intermediate,3,Islam,No,Area 2,High,Good,Short-term
22,Intermediate,Intermediate,1,Islam,No,Area 3,Moderate,Good,Short-term
30,High School,High School,6,Islam,Yes,Area 2,Considerable,Good,Short-term
25,Intermediate,University,3,Islam,No,Area 2,High,Good,Short-term
25,University,University,2,Islam,No,Area 3,Considerable,Good,Short-term
33,University,University,2,Islam,Yes,Area 1,High,Good,Short-term
33,Intermediate,Intermediate,4,Islam,Yes,Area 2,Considerable,Good,Short-term
26,Intermediate,Intermediate,2,Islam,Yes,Area 2,Moderate,Good,Short-term
29,Intermediate,University,5,Islam,No,Area 3,Considerable,Good,Short-term
32,Intermediate,Intermediate,4,Islam,No,Area 2,Low,Good,Short-term
30,University,University,1,Islam,Yes,Area 3,Moderate,Good,Short-term
37,University,University,1,Non-Islam,No,Area 1,High,Good,Short-term
31,Primary,High School,4,Islam,No,Area 3,Considerable,Good,Short-term
36,Primary,High School,4,Islam,No,Area 3,Low,Not good,Short-term
36,High School,High School,7,Islam,Yes,Area 2,Moderate,Not good,Short-term
26,Intermediate,University,2,Islam,Yes,Area 2,High,Good,Short-term
36,University,University,3,Islam,No,Area 1,High,Good,Short-term
28,University,University,1,Islam,No,Area 2,High,Good,Short-term
33,University,University,5,Islam,No,Area 3,Considerable,Good,Short-term
25,Intermediate,University,2,Islam,Yes,Area 2,High,Good,Short-term
31,University,University,2,Non-Islam,No,Area 1,High,Good,Short-term
38,University,University,4,Islam,Yes,Area 1,High,Good,Short-term
35,Primary,High School,5,Islam,No,Area 3,Considerable,Good,Short-term
33,University,University,3,Non-Islam,Yes,Area 2,High,Good,Short-term
30,High School,High School,2,Islam,No,Area 3,Moderate,Good,Short-term
20,Intermediate,Intermediate,2,Islam,No,Area 2,Moderate,Not good,Short-term
18,Intermediate,Intermediate,1,Islam,No,Area 2,Moderate,Good,Short-term
30,Intermediate,High School,3,Islam,No,Area 3,Considerable,Good,Short-term
35,High School,Intermediate,6,Islam,Yes,Area 3,Moderate,Good,Short-term
22,Intermediate,Intermediate,2,Islam,No,Area 3,Low,Good,Short-term
28,High School,University,7,Islam,No,Area 3,Considerable,Good,Short-term
21,Intermediate,Intermediate,1,Islam,No,Area 3,Low,Good,Short-term
27,Intermediate,University,4,Islam,No,Area 3,High,Good,Short-term
30,Intermediate,University,3,Islam,No,Area 3,Considerable,Good,Short-term
25,Intermediate,University,2,Islam,No,Area 3,Considerable,Good,Short-term
26,University,University,3,Islam,No,Area 3,Moderate,Good,Short-term
37,High School,University,5,Islam,No,Area 1,High,Good,Short-term
47,Primary,Intermediate,9,Islam,Yes,Area 3,Considerable,Good,Short-term
36,Primary,Primary,5,Islam,No,Area 3,Considerable,Good,Short-term
36,High School,Intermediate,6,Islam,No,Area 2,High,Good,Short-term
36,University,University,3,Islam,No,Area 2,High,Good,Short-term
28,University,University,4,Islam,No,Area 3,High,Good,Short-term
21,University,University,2,Islam,No,Area 3,Considerable,Good,Short-term
25,University,University,2,Islam,No,Area 2,Considerable,Good,Short-term
30,Intermediate,University,3,Islam,No,Area 3,High,Good,Short-term
22,Intermediate,Intermediate,3,Islam,No,Area 3,Considerable,Good,Short-term
23,University,Intermediate,2,Islam,Yes,Area 2,Considerable,Good,Short-term
36,Intermediate,University,9,Islam,No,Area 3,High,Good,Short-term
28,University,Intermediate,2,Islam,No,Area 3,Moderate,Good,Short-term
46,High School,High School,5,Islam,No,Area 2,High,Good,Short-term
47,University,University,5,Islam,No,Area 3,Moderate,Good,Short-term
41,Primary,University,5,Islam,Yes,Area 2,High,Good,Short-term
44,University,University,5,Islam,No,Area 3,High,Good,Short-term
34,High School,Intermediate,3,Non-Islam,No,Area 3,Moderate,Not good,Short-term
37,High School,Intermediate,6,Islam,No,Area 3,High,Good,Short-term
34,University,University,2,Non-Islam,No,Area 1,High,Good,Short-term
22,High School,University,2,Islam,No,Area 3,Moderate,Good,Short-term
33,High School,Intermediate,4,Islam,No,Area 2,Considerable,Good,Short-term
21,Intermediate,University,3,Islam,No,Area 3,Low,Good,Short-term
31,University,University,4,Islam,Yes,Area 3,High,Good,Short-term
41,University,Intermediate,5,Islam,Yes,Area 3,High,Good,Short-term
30,University,Intermediate,4,Islam,No,Area 3,Considerable,Good,Short-term
32,High School,University,5,Islam,No,Area 3,High,Good,Short-term
27,University,University,2,Non-Islam,Yes,Area 2,High,Good,Short-term
26,University,University,1,Non-Islam,Yes,Area 2,High,Good,Short-term
42,University,University,5,Non-Islam,No,Area 2,High,Good,Short-term
24,University,University,1,Islam,No,Area 1,Considerable,Good,Short-term
37,University,University,6,Islam,No,Area 1,High,Good,Short-term
30,High School,Intermediate,5,Islam,Yes,Area 3,High,Good,Short-term
27,University,University,1,Islam,No,Area 1,High,Good,Short-term
34,High School,University,6,Islam,No,Area 3,Considerable,Good,Short-term
32,Intermediate,University,5,Non-Islam,No,Area 1,High,Good,Short-term
28,University,University,1,Non-Islam,Yes,Area 2,High,Good,Short-term
29,Intermediate,Intermediate,1,Non-Islam,Yes,Area 2,High,Good,Short-term
42,University,University,3,Non-Islam,No,Area 2,High,Good,Short-term
21,High School,High School,0,Non-Islam,No,Area 4,High,Good,Short-term
22,University,University,2,Islam,No,Area 3,High,Good,Short-term
36,University,University,3,Non-Islam,No,Area 3,High,Good,Short-term
45,High School,Intermediate,3,Non-Islam,Yes,Area 2,High,Good,Short-term
34,University,University,2,Non-Islam,Yes,Area 2,High,Good,Short-term
35,High School,Intermediate,5,Islam,No,Area 3,Considerable,Good,Short-term
19,University,University,1,Islam,No,Area 2,Considerable,Good,Short-term
27,University,University,4,Islam,No,Area 3,Considerable,Good,Short-term
37,High School,University,4,Islam,Yes,Area 2,Considerable,Good,Short-term
26,Intermediate,High School,4,Islam,No,Area 3,High,Good,Short-term
28,Primary,Intermediate,5,Islam,No,Area 3,High,Good,Short-term
31,Intermediate,University,5,Islam,No,Area 1,High,Good,Short-term
32,High School,High School,6,Islam,No,Area 2,Considerable,Good,Short-term
40,High School,High School,4,Non-Islam,Yes,Area 2,High,Good,Short-term
27,Intermediate,Intermediate,5,Islam,No,Area 2,High,Good,Short-term
27,High School,High School,3,Islam,No,Area 2,Moderate,Not good,Short-term
37,University,University,5,Non-Islam,Yes,Area 2,High,Good,Short-term
22,University,Intermediate,1,Islam,No,Area 2,Moderate,Good,Short-term
27,University,University,4,Islam,No,Area 1,Moderate,Not good,Short-term
21,University,University,1,Non-Islam,No,Area 2,High,Good,Short-term
30,Primary,Intermediate,2,Islam,No,Area 3,High,Good,Short-term
23,High School,High School,1,Islam,No,Area 2,High,Good,Short-term
25,High School,University,3,Islam,No,Area 1,Considerable,Good,Short-term
42,High School,University,6,Islam,No,Area 2,High,Good,Short-term
29,University,University,3,Islam,No,Area 1,High,Good,Short-term
33,University,University,2,Islam,Yes,Area 2,High,Good,Short-term
33,University,University,3,Islam,No,Area 1,High,Good,Short-term
39,Intermediate,Intermediate,8,Islam,Yes,Area 1,High,Good,Short-term
33,Intermediate,Intermediate,4,Islam,Yes,Area 2,Moderate,Good,Short-term
17,Intermediate,Intermediate,1,Islam,No,Area 2,High,Good,Short-term
